Title,Type,Finishing,Location,City,Area,Beds,Baths,Price,Price_per_sqm,URL
Property 0,Townhouse,Semi Finished,Sheikh Zayed,Giza,108 sqm,3,1,"2,557,502 EGP",48913.766346400895,https://example.com/property/0
Property 1,Apartment,Semi Finished,Maadi,Giza,304 sqm,5,1,"8,789,945 EGP",10194.73630622013,https://example.com/property/1
Property 2,Townhouse,Semi Finished,Maadi,Giza,439 sqm,5,4,"1,327,538 EGP",26507.12993516597,https://example.com/property/2
Property 3,Townhouse,Semi Finished,Maadi,Giza,307 sqm,4,2,"5,130,152 EGP",14018.301987238738,https://example.com/property/3
Property 4,Apartment,Unknown,New Cairo,Suez,458 sqm,1,2,"7,068,452 EGP",30366.318622504106,https://example.com/property/4
Property 5,Apartment,Semi Finished,Sheikh Zayed,North Coast,474 sqm,1,3,"2,986,635 EGP",10986.798181619486,https://example.com/property/5
Property 6,Townhouse,Fully Finished,Giza,Cairo,240 sqm,5,2,"6,430,287 EGP",26275.937255625115,https://example.com/property/6
Property 7,Villa,Fully Finished,Giza,North Coast,219 sqm,2,2,"8,379,158 EGP",18827.962991413406,https://example.com/property/7
Property 8,Townhouse,Semi Finished,New Cairo,Suez,471 sqm,4,2,"2,308,201 EGP",31332.33449834963,https://example.com/property/8
Property 9,Townhouse,Semi Finished,Maadi,Giza,353 sqm,4,3,"9,213,595 EGP",49839.745964027985,https://example.com/property/9
Property 10,Townhouse,Fully Finished,Cairo,Suez,102 sqm,5,1,"5,758,806 EGP",42021.44420506991,https://example.com/property/10
Property 11,Townhouse,Fully Finished,New Cairo,North Coast,69 sqm,5,2,"3,342,704 EGP",43825.68366497685,https://example.com/property/11
Property 12,Apartment,Unknown,New Cairo,Cairo,304 sqm,2,3,"4,593,153 EGP",35410.59949436324,https://example.com/property/12
Property 13,Townhouse,Fully Finished,Sheikh Zayed,Suez,468 sqm,2,3,"3,465,822 EGP",11662.393930890343,https://example.com/property/13
Property 14,Villa,Fully Finished,Giza,Cairo,429 sqm,1,4,"7,388,556 EGP",18271.907041765764,https://example.com/property/14
Property 15,Apartment,Semi Finished,New Cairo,Suez,354 sqm,4,3,"8,064,856 EGP",47002.5822578822,https://example.com/property/15
Property 16,Villa,Fully Finished,New Cairo,Cairo,112 sqm,4,1,"8,412,905 EGP",24644.52471715005,https://example.com/property/16
Property 17,Villa,Unknown,Maadi,Cairo,164 sqm,5,2,"9,864,798 EGP",14145.469059231822,https://example.com/property/17
Property 18,Villa,Fully Finished,Maadi,Giza,443 sqm,1,3,"8,017,200 EGP",38096.21463464807,https://example.com/property/18
Property 19,Villa,Semi Finished,Cairo,Cairo,132 sqm,4,1,"6,213,148 EGP",21978.308957370187,https://example.com/property/19
Property 20,Apartment,Semi Finished,Sheikh Zayed,Giza,175 sqm,1,3,"3,722,592 EGP",20754.276516166865,https://example.com/property/20
Property 21,Apartment,Fully Finished,Cairo,North Coast,108 sqm,1,3,"5,673,656 EGP",49919.098222330416,https://example.com/property/21
Property 22,Villa,Semi Finished,Maadi,North Coast,354 sqm,5,3,"890,147 EGP",44325.557001066176,https://example.com/property/22
Property 23,Villa,Unknown,Giza,Giza,474 sqm,1,3,"7,575,838 EGP",26317.512734713644,https://example.com/property/23
Property 24,Apartment,Unknown,Maadi,Giza,171 sqm,2,3,"4,736,577 EGP",49210.44831265996,https://example.com/property/24
Property 25,Apartment,Fully Finished,Sheikh Zayed,Suez,263 sqm,2,1,"690,220 EGP",36004.52893676855,https://example.com/property/25
Property 26,Apartment,Fully Finished,Maadi,Suez,335 sqm,3,2,"1,093,815 EGP",39680.89807519041,https://example.com/property/26
Property 27,Townhouse,Fully Finished,Sheikh Zayed,Suez,499 sqm,5,2,"4,180,931 EGP",11260.521723288464,https://example.com/property/27
Property 28,Townhouse,Semi Finished,Sheikh Zayed,North Coast,97 sqm,3,2,"6,042,504 EGP",14864.210373922284,https://example.com/property/28
Property 29,Townhouse,Unknown,Sheikh Zayed,Suez,274 sqm,2,2,"4,909,937 EGP",35323.40505984954,https://example.com/property/29
Property 30,Villa,Unknown,Sheikh Zayed,Cairo,223 sqm,3,1,"6,382,441 EGP",45960.959305979355,https://example.com/property/30
Property 31,Townhouse,Semi Finished,Sheikh Zayed,Cairo,439 sqm,5,4,"5,062,795 EGP",34949.74904350383,https://example.com/property/31
Property 32,Villa,Unknown,Giza,Suez,264 sqm,5,4,"6,786,186 EGP",15360.99577275967,https://example.com/property/32
Property 33,Villa,Fully Finished,Cairo,Cairo,99 sqm,1,1,"2,581,697 EGP",14630.401849852984,https://example.com/property/33
Property 34,Townhouse,Fully Finished,New Cairo,North Coast,335 sqm,4,1,"1,572,010 EGP",43767.43583296327,https://example.com/property/34
Property 35,Villa,Fully Finished,Cairo,Cairo,396 sqm,1,3,"6,166,122 EGP",15572.093548316572,https://example.com/property/35
Property 36,Townhouse,Unknown,Sheikh Zayed,North Coast,51 sqm,5,3,"5,104,550 EGP",30809.278420161016,https://example.com/property/36
Property 37,Townhouse,Fully Finished,Giza,Giza,436 sqm,2,3,"755,242 EGP",11484.532798492091,https://example.com/property/37
Property 38,Apartment,Semi Finished,Maadi,Giza,133 sqm,2,2,"4,114,577 EGP",13226.790695647094,https://example.com/property/38
Property 39,Townhouse,Semi Finished,Giza,Giza,298 sqm,1,3,"1,508,193 EGP",36893.93070571459,https://example.com/property/39
Property 40,Apartment,Unknown,Sheikh Zayed,Giza,237 sqm,5,4,"5,547,889 EGP",37567.25641710067,https://example.com/property/40
Property 41,Townhouse,Semi Finished,Giza,Cairo,373 sqm,2,2,"4,259,887 EGP",23658.776264337695,https://example.com/property/41
Property 42,Townhouse,Semi Finished,Giza,Suez,217 sqm,5,3,"6,324,943 EGP",18624.39060972179,https://example.com/property/42
Property 43,Apartment,Unknown,Sheikh Zayed,Cairo,441 sqm,2,2,"8,153,221 EGP",42548.41083029232,https://example.com/property/43
Property 44,Apartment,Fully Finished,Giza,North Coast,378 sqm,5,4,"3,346,852 EGP",18684.129178795614,https://example.com/property/44
Property 45,Townhouse,Fully Finished,New Cairo,Cairo,341 sqm,3,3,"9,639,969 EGP",31681.082786655188,https://example.com/property/45
Property 46,Villa,Fully Finished,New Cairo,Cairo,408 sqm,5,4,"5,588,527 EGP",48728.35363451622,https://example.com/property/46
Property 47,Apartment,Unknown,Giza,North Coast,389 sqm,5,4,"6,373,762 EGP",15914.097514495352,https://example.com/property/47
Property 48,Villa,Semi Finished,Maadi,Giza,66 sqm,1,4,"6,966,387 EGP",47635.05069978836,https://example.com/property/48
